area_id,population,location_urban,location_rural,hh_size1,hh_size2,hh_size3,hh_size4,m_0_to_30,f_0_to_30,m_30_to_60,f_30_to_60,m_gt_60,f_gt_60,edu_non,edu_low,edu_middle,edu_high
d122,290,0,290,107,171,6,25,11,9,143,128,98,103,65,260,167,0
d123,202,202,0,39,92,31,181,122,114,98,96,29,38,10,64,353,70
d124,263,0,263,78,176,4,25,12,6,148,166,65,70,59,263,136,9
d125,288,0,288,79,201,7,4,10,19,148,157,92,80,59,271,163,13
d126,314,314,0,126,180,4,18,31,35,179,163,50,58,61,221,216,18
d127,308,308,0,130,176,0,10,37,26,168,164,44,53,68,210,196,18
d128,276,0,276,72,196,4,16,14,16,164,162,75,61,66,266,144,16
d129,319,319,0,141,172,1,23,38,20,180,171,43,59,70,204,215,22
d130,298,0,298,120,176,2,0,10,4,115,96,121,132,36,195,220,27
d131,306,0,306,118,172,5,47,6,11,133,137,122,115,69,290,162,3
d132,267,0,267,63,193,4,33,9,6,151,165,83,80,54,270,163,7
d133,257,257,0,85,151,12,41,63,70,144,137,19,31,29,109,287,39
d134,261,261,0,81,152,13,67,64,70,160,151,24,22,38,130,269,54
d135,271,271,0,94,150,9,83,69,62,153,176,18,26,34,126,290,54
d136,313,0,313,129,178,1,22,7,11,103,123,130,136,27,209,240,34
d137,268,0,268,79,188,1,0,10,17,147,172,55,57,29,177,232,20
d138,262,262,0,87,135,18,95,90,94,149,145,15,13,28,72,337,69
d139,306,306,0,137,164,3,9,43,34,150,158,48,50,73,177,217,16
d140,286,286,0,98,167,11,42,87,56,161,160,24,19,37,111,307,52
d141,328,0,328,140,185,1,10,6,9,115,117,148,128,36,209,249,29
d142,287,287,0,96,163,9,83,66,76,175,168,25,22,32,135,304,61
d143,269,269,0,92,153,8,71,68,63,156,163,28,15,30,102,309,52
d144,320,320,0,143,174,2,4,32,24,171,159,55,60,66,203,212,20
d145,278,0,278,69,197,5,30,8,12,179,159,81,69,68,284,141,15
d146,293,0,293,97,185,6,27,12,10,138,142,101,109,65,284,161,2
d147,262,0,262,68,183,4,35,9,9,159,171,69,64,44,267,156,14
d148,277,277,0,103,156,7,48,65,61,144,165,22,27,31,115,283,55
d149,301,301,0,118,178,2,12,31,33,178,167,38,45,66,205,207,14
d150,274,0,274,79,180,6,39,10,12,159,158,75,82,58,260,172,6
d151,184,184,0,28,85,34,167,115,101,94,112,27,18,3,58,340,66
d152,274,274,0,81,180,6,31,63,76,135,161,24,31,30,121,288,51
d153,287,287,0,104,163,8,56,65,83,159,155,26,22,27,120,320,43
d154,258,258,0,96,132,13,74,73,76,152,134,19,19,21,78,302,72
d155,272,272,0,102,135,15,89,79,77,150,162,22,16,31,85,306,84
d156,260,260,0,82,155,7,71,69,63,157,148,18,29,32,107,286,59
d157,267,267,0,101,129,15,97,87,83,153,139,20,19,26,99,311,65
d158,272,0,272,66,192,7,33,8,9,168,172,71,76,49,267,174,14
d159,202,202,0,34,100,32,156,120,119,96,96,35,20,5,54,349,78
d160,297,0,297,78,214,1,19,11,11,177,172,72,85,46,206,256,20
d161,268,268,0,92,146,14,71,66,74,145,165,27,20,32,129,291,45
d162,287,287,0,101,164,14,35,79,59,157,170,23,18,34,118,304,50
d163,279,279,0,106,147,11,62,74,70,128,181,18,24,30,101,311,53
d164,264,264,0,95,147,11,52,56,57,154,154,31,22,34,114,285,41
d165,268,268,0,91,157,8,58,49,71,162,145,30,30,38,108,284,57
d166,265,0,265,72,188,1,17,18,10,161,168,57,54,36,175,229,28
d167,290,0,290,88,192,3,32,10,9,188,162,62,82,52,288,163,10
d168,274,274,0,102,147,5,92,68,76,143,167,27,22,37,102,322,42
d169,291,291,0,126,132,21,53,87,92,120,149,27,31,35,89,318,64
d170,327,0,327,145,178,1,16,9,11,101,129,135,135,40,195,248,37
d171,287,287,0,97,177,4,41,59,72,165,153,28,27,30,136,287,51
d172,271,271,0,94,159,5,56,62,71,147,145,24,34,41,107,269,66
d173,291,291,0,126,159,0,26,29,25,164,164,37,51,60,196,200,14
d174,257,0,257,55,195,2,21,6,10,168,135,84,69,55,274,132,11
d175,261,261,0,114,113,12,97,79,84,130,134,26,20,36,74,296,67
d176,289,289,0,101,165,9,62,72,75,162,165,22,24,31,118,315,56
d177,275,0,275,64,198,4,40,11,10,156,173,84,78,60,278,159,15
d178,272,272,0,110,140,6,75,72,71,147,153,21,19,29,122,292,40
d179,284,0,284,76,198,3,31,14,11,176,162,61,88,63,286,155,8
d180,259,259,0,75,149,11,107,70,57,153,187,22,24,33,112,322,46
d181,279,279,0,117,122,17,102,78,96,148,144,24,24,25,84,330,75
d182,272,0,272,71,188,7,28,9,13,167,154,76,77,73,285,130,8
d183,287,0,287,81,203,1,8,10,8,177,172,68,63,39,182,250,27
d184,276,276,0,93,151,16,73,84,85,153,150,25,19,37,73,317,89
d185,261,261,0,81,155,9,75,80,52,154,160,28,19,29,120,289,55
d186,278,278,0,91,170,4,56,60,77,161,158,22,21,38,109,299,53
d187,308,308,0,144,163,0,5,31,37,155,153,57,42,64,197,200,14
d188,258,258,0,90,142,11,71,60,59,162,151,22,24,40,123,266,49
d189,322,0,322,152,167,2,4,8,6,122,133,121,106,55,177,236,28
d190,297,0,297,75,219,0,13,13,8,151,180,74,100,53,279,183,11
d191,268,268,0,88,168,8,18,58,65,147,162,19,15,27,106,292,41
d192,263,0,263,63,189,6,20,9,8,147,170,73,72,52,284,135,8
d193,282,0,282,79,191,7,22,7,8,176,155,89,69,64,272,154,14
d194,274,0,274,69,191,6,34,15,5,158,151,84,90,49,270,179,5
d195,339,0,339,145,190,0,18,7,13,126,124,132,141,52,207,245,39
d196,283,0,283,80,194,4,23,7,10,177,147,85,77,56,281,156,10
d197,287,287,0,99,162,6,86,47,69,182,178,22,29,36,128,311,52
d198,289,289,0,132,153,2,8,32,22,131,148,59,60,67,176,192,17
d199,269,269,0,95,141,15,82,94,98,137,146,12,17,39,61,343,61
d200,254,254,0,106,116,11,94,80,79,120,154,13,19,33,68,288,76
d201,332,332,0,146,183,2,4,25,41,160,174,59,63,61,215,229,17
d202,278,0,278,67,201,5,21,11,17,161,174,67,75,64,261,167,13
d203,282,0,282,79,199,3,4,11,10,155,174,71,69,34,184,250,22
d204,325,0,325,144,176,1,19,17,10,112,111,141,127,45,201,250,22
d205,299,299,0,129,164,3,14,35,25,160,171,39,50,71,177,218,14
d206,299,299,0,132,161,1,24,40,26,156,168,51,40,61,178,226,16
d207,329,329,0,145,182,2,0,37,30,164,174,59,51,78,210,211,16
d208,272,272,0,101,139,18,63,80,100,143,138,18,17,23,82,314,77
d209,272,0,272,65,197,4,28,15,18,171,152,67,76,51,287,151,10
d210,309,0,309,119,179,6,22,7,8,134,147,115,106,71,300,144,2
d211,298,0,298,86,203,3,28,11,21,181,183,69,64,34,220,253,22
d212,271,0,271,63,202,1,23,5,10,162,159,78,79,65,261,156,11
d213,265,0,265,85,175,5,0,11,12,145,172,59,51,26,185,222,17
d214,284,284,0,101,162,6,66,70,54,188,161,22,14,34,112,316,47
d215,305,305,0,118,179,4,17,25,23,174,176,45,62,65,203,220,17
d216,289,0,289,73,210,2,18,13,18,194,178,56,58,32,199,260,26
d217,295,295,0,109,167,7,52,77,66,155,164,30,24,34,113,318,51
d218,268,268,0,109,126,10,102,104,101,125,126,16,21,37,61,313,82
d219,261,261,0,97,139,12,58,52,66,143,156,30,22,36,107,278,48
d220,274,0,274,73,191,4,26,10,11,143,167,83,79,61,269,156,7
d221,337,0,337,151,185,1,0,8,8,102,122,149,135,43,195,260,26
d222,277,0,277,66,197,4,41,8,19,180,162,71,73,64,279,161,9
d223,270,270,0,84,161,11,62,67,77,156,170,14,17,33,118,304,46
d224,278,0,278,76,199,0,14,7,13,162,189,62,55,35,184,243,26
d225,256,0,256,57,185,8,26,13,11,149,162,66,76,47,262,161,7
d226,289,0,289,85,201,1,8,7,11,163,191,59,67,37,207,234,20
d227,257,257,0,93,132,12,93,76,84,131,156,18,21,28,83,303,72
d228,262,0,262,67,187,3,27,7,16,161,156,70,67,49,245,170,13
d229,283,283,0,97,160,11,67,71,65,150,177,28,26,33,112,323,49
d230,335,335,0,140,194,0,5,31,41,170,176,69,46,79,217,219,18
d231,276,276,0,94,160,10,50,65,59,163,154,28,25,45,117,283,49
d232,278,0,278,72,193,8,21,7,12,150,162,92,80,48,264,178,13
d233,282,282,0,83,173,12,68,70,75,164,172,31,21,29,135,330,39
d234,278,278,0,112,132,15,84,88,86,153,146,19,13,27,82,320,76
d235,280,0,280,71,199,2,35,11,15,165,159,69,91,70,274,157,9
d236,264,264,0,77,171,7,42,70,62,151,155,21,23,33,109,290,50
d237,307,307,0,139,160,1,29,21,33,162,189,46,40,76,203,195,17
d238,271,271,0,104,155,7,27,55,61,158,140,21,27,35,108,278,41
d239,284,284,0,117,148,10,39,67,75,153,145,22,20,30,108,290,54
d240,256,256,0,96,129,9,96,87,75,135,144,21,15,29,87,289,72
d241,315,0,315,132,179,1,14,11,6,115,114,123,138,36,176,259,36
d242,268,268,0,86,157,14,48,69,64,141,162,21,33,38,114,289,49
d243,281,281,0,108,167,2,20,31,21,154,160,47,55,61,192,197,18
d244,286,0,286,76,202,3,24,11,9,169,153,78,93,55,288,160,10
d245,289,0,289,84,195,5,23,9,15,177,145,76,90,55,273,175,9
d246,264,0,264,82,180,1,5,17,14,153,152,54,60,42,158,231,19
d247,322,0,322,148,171,2,4,14,11,109,126,119,121,44,170,254,32
d248,249,249,0,90,126,20,56,79,81,137,122,24,15,33,57,284,84
d249,271,271,0,91,154,10,72,64,63,154,171,22,27,40,145,272,44
d250,297,0,297,85,207,2,14,10,11,176,180,70,72,40,201,258,20
d251,296,0,296,81,212,3,0,18,16,188,168,56,68,30,198,267,19
d252,314,314,0,136,171,5,10,34,32,155,178,60,44,51,209,227,16
d253,256,256,0,88,147,7,65,56,69,139,168,13,23,31,103,287,47
d254,280,0,280,67,202,4,31,12,6,162,186,73,75,50,294,160,10
d255,293,0,293,86,205,1,4,10,15,182,167,60,69,40,187,252,24
d256,270,270,0,95,136,14,112,98,91,150,140,17,25,28,79,346,68
d257,245,0,245,72,165,3,20,5,13,118,153,74,68,56,229,137,9
d258,272,272,0,89,161,10,50,57,67,164,163,22,18,36,103,298,54
d259,272,0,272,65,193,4,45,10,12,160,169,79,78,52,296,145,15
d260,297,297,0,95,182,12,33,71,70,159,178,19,31,37,124,321,46
d261,272,0,272,67,199,6,0,6,8,150,148,81,90,56,274,143,10
d262,261,261,0,108,120,17,73,99,78,133,126,22,14,31,74,285,82
d263,285,0,285,71,209,2,13,6,8,174,151,89,80,56,257,179,16
d264,272,272,0,96,152,12,51,58,73,151,167,14,24,34,130,264,59
d265,212,212,0,29,117,20,199,120,117,115,114,29,27,9,51,372,90
d266,225,225,0,46,114,26,175,125,95,117,121,39,30,14,58,380,75
d267,317,317,0,143,171,2,4,27,34,169,168,56,41,73,211,189,22
d268,283,283,0,96,167,7,62,68,70,172,157,19,27,37,112,310,54
d269,290,0,290,81,206,1,8,10,19,174,159,79,63,35,180,270,19
d270,317,317,0,145,165,3,17,26,35,165,178,47,50,73,200,212,16
d271,276,0,276,75,192,3,25,13,11,164,173,53,79,72,263,144,14
d272,277,277,0,104,137,18,82,94,81,144,158,21,16,32,80,317,85
d273,279,279,0,114,131,19,65,86,86,124,161,16,25,29,82,318,69
d274,273,273,0,102,138,17,70,71,83,143,160,22,20,42,87,294,76
d275,207,207,0,38,101,27,184,114,114,98,121,32,26,6,63,345,91
d276,270,270,0,101,149,8,58,72,54,153,153,20,29,39,121,268,53
d277,253,253,0,98,120,13,99,84,91,145,118,19,19,23,85,297,71
d278,297,0,297,127,160,4,28,6,9,123,139,102,108,72,275,140,0
d279,290,290,0,108,155,12,68,75,55,173,167,28,24,44,129,293,56
d280,270,270,0,89,165,5,55,68,54,156,163,29,19,30,109,305,45
d281,280,280,0,114,136,12,79,99,83,136,140,19,24,26,73,313,89
d282,296,0,296,70,215,4,31,10,9,189,172,72,91,62,291,179,11
d283,286,0,286,108,167,5,25,11,14,109,131,106,111,58,278,144,2
d284,275,275,0,91,170,6,34,54,56,158,164,25,26,36,120,279,48
d285,344,344,0,178,163,0,14,32,34,165,174,65,48,74,191,241,12
d286,304,0,304,128,164,6,28,13,13,130,131,90,125,64,293,144,1
d287,297,0,297,105,181,3,33,6,6,150,134,105,108,64,280,161,4
d288,255,0,255,57,185,6,33,13,12,164,147,77,65,64,256,147,11
d289,292,0,292,94,191,3,18,13,15,179,175,52,69,45,198,235,25
d290,279,279,0,108,153,7,52,61,72,131,173,22,28,36,126,277,48
d291,299,0,299,115,184,0,0,10,7,101,113,142,110,35,186,230,32
d292,267,267,0,100,136,16,68,92,79,149,124,22,22,36,87,297,68
d293,288,288,0,101,164,6,74,76,61,161,176,25,22,31,138,295,57
d294,280,280,0,102,150,8,84,73,79,148,161,25,24,29,121,292,68
d295,320,320,0,146,168,2,17,26,33,164,167,59,56,75,193,224,13
d296,288,288,0,117,164,1,28,31,24,149,149,65,58,70,174,222,10
d297,245,245,0,85,129,11,93,73,76,145,138,18,19,31,86,278,74
d298,344,344,0,159,182,0,12,33,28,196,167,54,57,84,217,220,14
d299,303,0,303,114,185,2,9,10,5,116,112,130,126,37,198,239,25
d300,259,0,259,56,189,5,39,12,16,155,161,74,70,59,273,148,8
d301,254,0,254,61,182,4,33,12,7,164,158,55,74,56,255,149,10
d302,305,0,305,108,195,0,8,7,5,114,141,123,116,30,188,259,29
d303,293,0,293,97,188,6,10,12,7,158,182,80,62,37,190,248,26
d304,309,0,309,135,169,2,14,5,7,102,102,133,144,34,191,238,30
d305,333,333,0,152,179,1,5,26,31,173,168,54,66,64,211,227,16
d306,258,0,258,61,189,3,22,13,11,142,147,69,88,52,234,166,18
d307,291,0,291,71,206,7,35,6,12,193,179,87,62,51,291,182,15
d308,316,316,0,145,163,2,26,25,34,197,153,45,49,67,184,232,20
d309,268,268,0,92,151,14,50,62,76,141,153,23,31,41,103,287,55
d310,271,271,0,104,142,13,56,68,77,142,156,20,20,31,85,306,61
d311,289,0,289,74,207,3,22,11,13,155,184,74,82,59,276,177,7
d312,249,249,0,77,145,6,94,66,60,144,158,24,27,40,116,275,48
d313,190,190,0,34,82,24,219,122,114,101,99,26,27,11,41,353,84
d314,273,0,273,66,194,3,43,9,9,180,168,75,65,52,283,162,9
d315,273,273,0,107,134,12,87,83,102,138,151,10,14,30,72,328,68
d316,284,284,0,110,141,13,88,85,78,159,161,16,20,24,84,331,80
d317,296,0,296,110,177,3,26,5,11,125,122,106,130,63,273,162,1
d318,284,0,284,87,188,2,31,16,12,165,149,64,94,61,275,154,10
d319,255,255,0,86,130,14,113,73,80,142,162,18,26,38,79,311,73
d320,272,272,0,104,128,17,106,92,73,148,143,28,33,35,85,310,87
d321,267,267,0,108,130,14,65,85,76,155,122,16,21,32,70,307,66
d322,209,209,0,45,94,37,153,109,122,103,105,30,28,7,64,351,75
d323,301,0,301,87,207,2,23,13,15,169,188,75,70,33,206,262,29
d324,297,0,297,98,195,2,9,18,18,186,160,64,57,38,194,242,29
d325,263,263,0,89,138,11,112,91,80,152,146,20,21,27,83,314,86
d326,268,0,268,70,185,5,35,6,8,165,166,69,76,63,262,159,6
d327,302,0,302,136,161,0,24,8,9,99,108,116,142,35,178,253,16
d328,273,273,0,89,160,12,54,68,67,145,183,21,15,37,138,280,44
d329,266,266,0,113,121,13,84,75,89,137,137,17,23,30,100,281,67
d330,274,274,0,102,145,12,64,60,65,152,156,27,32,22,104,312,54
d331,299,0,299,101,193,0,21,17,14,187,153,73,64,40,217,228,23
d332,299,299,0,133,162,3,4,28,35,185,138,45,39,60,205,189,16
d333,301,0,301,112,174,1,61,8,10,135,130,112,129,64,296,164,0
d334,295,295,0,134,153,3,21,30,19,166,138,43,74,62,188,204,16
d335,277,277,0,88,162,10,71,57,81,154,167,26,28,42,132,277,62
d336,288,0,288,87,195,3,15,14,15,145,190,78,59,29,204,243,25
d337,278,0,278,111,158,3,29,7,9,121,115,117,96,38,258,168,1
d338,276,0,276,96,171,4,24,8,13,130,120,110,93,44,275,154,1
d339,292,0,292,87,201,1,13,15,14,169,179,67,61,40,193,247,25
d340,298,298,0,134,157,3,18,30,31,175,152,46,41,64,207,190,14
d341,278,0,278,64,207,5,9,13,10,171,167,69,72,51,274,163,14
d342,290,0,290,68,212,5,23,12,16,154,180,87,81,63,282,167,18
d343,318,0,318,144,173,0,5,8,3,120,99,135,130,45,196,222,32
d344,257,257,0,79,147,11,88,81,51,174,142,29,17,32,112,294,56
d345,308,0,308,127,179,1,4,7,11,109,111,140,114,33,209,227,23
d346,292,0,292,109,170,3,49,9,12,138,141,112,95,66,305,134,2
d347,268,268,0,91,131,15,140,91,102,143,154,26,22,28,94,348,68
d348,281,0,281,69,209,1,9,11,10,169,168,84,57,27,187,261,24
d349,291,291,0,114,147,13,80,99,81,146,156,21,24,37,84,326,80
d350,273,0,273,102,157,8,26,11,12,136,107,102,98,58,262,144,2
d351,277,277,0,98,158,6,70,61,65,160,164,30,22,30,117,291,64
d352,296,0,296,77,209,6,16,9,13,190,168,65,84,56,297,163,13
d353,263,0,263,69,185,4,21,5,10,141,168,73,75,58,253,153,8
d354,290,0,290,75,208,3,17,7,11,172,163,78,86,60,280,165,12
d355,265,265,0,111,116,9,130,88,82,146,152,13,19,30,87,319,64
d356,279,279,0,97,163,9,43,54,66,159,155,34,25,34,113,300,46
d357,191,191,0,42,68,32,222,126,113,101,100,32,24,7,58,344,87
d358,301,301,0,115,181,1,16,25,46,161,169,52,43,70,196,211,19
d359,310,0,310,123,184,0,12,5,7,126,109,133,123,43,193,242,25
d360,275,275,0,90,152,15,81,64,85,150,174,23,24,37,122,304,57
d361,279,279,0,125,120,13,96,85,108,129,134,24,20,33,82,303,82
d362,293,0,293,88,203,2,0,16,10,171,178,63,62,31,201,252,16
d363,203,203,0,23,111,24,208,136,128,105,106,28,22,11,46,381,87
d364,262,0,262,61,190,5,27,11,9,148,157,77,81,59,268,147,9
d365,268,0,268,50,202,7,39,16,15,159,170,82,72,57,276,170,11
d366,304,0,304,128,173,0,12,9,8,104,118,121,126,44,171,251,20
d367,324,324,0,151,165,5,14,32,29,187,153,57,52,57,230,212,11
d368,268,268,0,108,121,16,101,92,100,153,125,15,14,20,89,320,70
d369,310,310,0,121,182,2,20,28,29,181,173,50,50,83,200,210,18
d370,270,0,270,81,182,4,16,10,12,149,190,55,57,36,174,232,31
d371,287,0,287,79,196,6,25,12,16,155,154,96,81,79,261,164,10
